seed_id,k,v,t,n,seed,count_symbols,min_unique_pairs,sum_unique_pairs,collision_penalty,lag_unique_counts,position_covered,position_missing,position_pct,position_pair_counts,full_covered,full_missing,full_pct,full_pair_counts
1,11,2,3,11,0 0 0 0 0 0 1 1 1 1 1,6 5,,,,,891,429,67.500000,6 6 6 5 4 5 6 6 6 6 6 5 5 5 5 6 6 6 5 5 6 5 5 6 5 5 6 6 5 5 4 5 5 5 4 5 5 5 5 6 6 6 6 6 6 6 6 6 5 4 5 6 6 6 6 5 5 5 5 6 6 5 5 6 5 5 5 5 6 6 5 4 5 5 5 5 5 5 6 6 6 6 6 6 5 4 5 6 6 6 5 5 5 5 6 5 5 6 5 5 5 6 6 4 5 5 5 5 6 6 6 6 5 4 5 6 6 5 5 5 6 5 5 6 5 5 6 4 5 5 6 6 6 5 4 6 6 5 5 6 5 5 5 5 4 6 6 6 5 6 6 5 6 5 5 6 6 6 6 6 6 6 6 6 6,836,484,63.333333,4 5 4 4 4 4 5 5 4 5 5 5 5 5 5 6 5 4 5 5 6 5 5 5 4 4 5 5 4 4 4 5 5 5 4 5 5 5 4 6 6 5 6 5 5 4 5 5 4 4 4 5 5 5 6 5 5 5 5 6 5 5 5 6 5 5 5 5 6 6 5 4 5 5 5 5 5 5 6 6 6 4 5 5 4 4 4 5 5 6 5 5 5 5 6 5 5 6 5 5 5 6 6 4 5 5 5 5 6 4 5 5 4 4 4 6 6 5 5 5 6 5 5 6 5 5 6 4 5 5 5 5 5 4 4 6 6 5 5 6 5 5 5 5 4 6 6 6 5 6 6 5 6 5 5 6 6 6 6 6 6 6 6 6 6
2,11,2,3,11,0 0 0 0 0 1 0 1 1 1 1,6 5,,,,,1111,209,84.166667,8 7 6 7 7 5 7 7 8 7 6 7 7 7 7 6 7 7 7 7 6 7 7 6 5 7 6 6 7 7 7 7 7 7 7 7 7 7 5 6 6 7 7 7 8 8 7 6 7 7 5 7 7 7 6 7 7 7 7 6 7 7 7 6 7 7 5 7 6 6 7 7 7 7 7 7 7 7 6 6 7 8 7 6 7 7 5 7 7 6 7 7 7 7 7 7 7 6 7 5 7 6 6 7 7 7 7 7 6 8 7 6 7 7 5 7 6 7 7 7 7 7 7 6 5 7 6 7 7 7 8 7 6 7 7 7 6 7 7 7 7 7 5 7 7 8 7 6 7 7 6 7 7 7 5 8 7 6 7 6 7 8 7 7 8,993,327,75.227273,7 7 7 6 6 6 6 6 7 7 6 7 7 5 7 5 7 7 7 7 5 6 7 6 7 6 5 6 6 6 6 6 7 6 6 5 7 7 6 5 5 6 6 7 6 7 7 7 6 6 6 6 7 7 6 6 7 5 7 5 7 6 7 5 6 7 6 6 5 5 7 5 5 6 5 5 6 7 5 5 6 7 7 6 6 6 6 6 7 6 6 7 5 7 7 6 7 4 7 5 7 5 5 5 5 6 5 7 5 6 7 6 6 6 6 7 6 6 6 6 6 6 6 4 5 7 5 5 5 5 7 7 6 5 7 6 6 6 6 6 6 6 5 7 5 6 7 6 6 6 5 7 5 7 5 5 6 5 6 5 5 5 6 6 5
3,11,2,3,11,0 0 0 0 0 1 1 0 1 1 1,6 5,,,,,1177,143,89.166667,7 8 8 7 7 7 6 8 7 8 8 7 7 7 6 8 8 6 6 7 7 7 7 8 7 7 7 7 7 7 7 7 7 7 7 7 7 6 7 8 8 6 8 8 7 7 8 8 7 7 7 6 8 8 8 7 7 7 6 8 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 6 8 8 8 7 8 8 7 7 7 6 8 8 7 7 7 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 8 7 8 8 7 7 7 8 8 7 7 7 6 6 7 7 7 7 7 7 7 7 7 8 8 7 7 8 8 7 7 6 6 7 7 7 7 7 8 8 7 8 8 7 6 6 7 7 8 8 8 8 6 7 8 8 7,1090,230,82.575758,7 7 7 6 6 7 7 7 7 6 7 6 6 7 7 7 7 7 7 6 8 7 7 7 6 6 7 7 7 6 5 5 5 7 6 6 6 6 6 6 8 7 8 7 7 7 7 7 6 6 7 7 7 7 7 7 6 7 7 8 6 7 6 8 7 7 6 7 7 7 6 6 6 6 7 6 7 7 6 8 8 7 7 7 7 6 7 7 6 7 7 5 7 7 6 6 6 7 6 6 7 7 7 7 7 7 6 7 6 6 7 7 7 6 7 6 7 7 4 6 7 6 6 8 7 7 7 7 7 6 5 6 6 6 5 7 7 7 5 8 6 6 7 7 7 6 6 6 5 6 7 6 7 6 6 6 7 7 6 8 8 7 8 6 7
4,11,2,3,11,0 0 0 0 0 1 1 1 0 1 1,6 5,,,,,1177,143,89.166667,7 8 6 7 7 7 8 8 7 8 8 6 7 7 7 8 8 8 7 7 7 7 6 6 7 7 7 7 7 7 7 7 7 7 7 7 6 7 7 6 8 8 8 8 7 7 8 6 7 7 7 8 8 8 8 6 7 7 7 8 8 7 7 7 7 6 7 7 7 7 7 7 7 7 7 7 6 7 6 8 8 7 8 6 7 7 7 8 8 8 6 7 7 7 8 7 7 7 7 7 7 7 7 7 7 7 7 6 6 7 8 6 7 7 7 8 8 6 7 7 8 7 7 7 7 7 7 7 7 7 7 8 6 7 7 8 8 6 7 8 7 7 7 7 7 7 8 6 7 8 8 6 8 7 7 7 8 6 8 8 8 7 8 8 7,1090,230,82.575758,7 6 7 7 6 7 7 7 7 7 8 7 7 6 7 7 7 7 7 7 8 6 7 7 6 7 7 8 6 7 7 7 6 4 6 7 6 7 7 7 7 7 6 7 6 7 7 7 7 6 6 7 7 7 7 7 7 6 6 7 6 7 7 7 6 7 6 7 7 7 7 7 7 6 5 6 6 7 6 7 6 7 7 7 7 6 6 7 8 8 7 7 6 7 6 7 6 7 7 6 6 7 8 6 7 6 6 7 6 7 7 7 6 6 6 8 8 6 7 7 6 6 5 7 6 5 7 5 6 6 7 6 8 6 7 8 8 6 7 7 6 6 5 5 5 7 6 7 7 7 7 6 6 7 6 6 6 8 6 7 6 6 7 6 5
5,11,2,3,11,0 0 0 0 0 1 1 1 1 0 1,6 5,,,,,1111,209,84.166667,8 7 7 5 7 7 6 7 8 7 6 7 7 7 7 6 7 6 7 7 6 7 7 7 7 7 6 6 7 5 7 7 7 7 7 5 7 7 7 7 6 6 7 7 8 8 7 7 5 7 7 6 7 7 6 7 7 7 7 6 6 7 7 6 7 7 7 7 6 6 7 7 7 7 7 5 7 7 7 6 7 8 7 7 5 7 7 6 7 6 7 7 7 7 6 7 7 6 7 7 7 6 6 7 7 7 5 7 7 8 7 7 5 7 7 7 6 7 7 7 6 7 7 6 7 7 6 7 7 5 8 7 7 5 7 7 6 7 7 6 7 7 7 7 7 8 7 7 5 7 6 7 6 7 7 8 7 7 7 6 6 8 7 7 8,993,327,75.227273,7 7 6 6 6 6 6 7 7 7 5 7 5 7 6 6 7 6 7 6 5 7 7 7 5 5 5 4 6 6 5 7 6 6 6 5 6 6 6 6 6 6 7 7 6 7 7 6 6 6 6 7 7 7 5 7 5 7 7 6 5 7 6 5 7 7 5 5 5 4 5 5 7 7 7 5 6 6 7 6 7 7 6 6 6 6 6 7 6 5 7 5 7 7 5 6 6 5 6 5 5 5 5 5 6 7 6 6 7 6 7 6 6 6 6 6 5 7 6 6 5 7 7 6 5 6 5 6 6 7 5 6 5 5 5 6 5 7 7 5 7 6 6 6 7 5 6 5 5 6 5 6 6 6 5 5 6 6 7 6 6 6 6 7 7
6,11,2,3,11,0 0 0 0 0 1 1 1 1 1 0,6 5,,,,,891,429,67.500000,6 6 6 5 4 5 6 6 6 6 6 5 5 5 5 6 6 6 5 5 6 5 5 6 5 5 6 6 5 5 4 5 5 5 4 5 5 5 5 6 6 6 6 6 6 6 6 6 5 4 5 6 6 6 6 5 5 5 5 6 6 5 5 6 5 5 5 5 6 6 5 4 5 5 5 5 5 5 6 6 6 6 6 6 5 4 5 6 6 6 5 5 5 5 6 5 5 6 5 5 5 6 6 4 5 5 5 5 6 6 6 6 5 4 5 6 6 5 5 5 6 5 5 6 5 5 6 4 5 5 6 6 6 5 4 6 6 5 5 6 5 5 5 5 4 6 6 6 5 6 6 5 6 5 5 6 6 6 6 6 6 6 6 6 6,836,484,63.333333,4 5 5 4 4 4 5 5 4 5 6 5 5 5 5 6 5 5 5 5 6 5 5 4 5 5 6 6 5 4 4 5 5 5 4 5 5 5 4 6 6 5 6 5 4 4 5 5 4 4 4 5 5 5 6 5 5 5 5 5 6 5 5 6 5 5 5 5 6 6 5 4 5 5 5 5 5 5 6 6 5 4 5 5 4 4 4 4 6 6 5 5 5 5 6 5 5 6 5 5 5 6 6 4 5 5 5 5 5 5 5 5 4 4 4 6 6 5 5 4 6 5 5 5 5 5 5 4 4 4 6 6 6 5 4 6 6 5 5 6 5 5 5 5 4 6 6 6 5 6 6 5 6 5 4 6 6 6 6 6 5 6 6 5 5
7,11,2,3,11,0 0 0 0 1 0 0 1 1 1 1,6 5,,,,,1166,154,88.333333,7 8 6 6 8 7 7 8 7 8 7 7 7 6 8 7 8 7 8 8 6 8 7 6 7 6 6 6 7 6 8 7 8 6 8 6 7 8 7 6 7 7 8 8 7 7 8 6 6 8 7 7 8 8 7 7 7 6 8 7 7 8 8 6 8 7 7 6 6 6 7 8 7 8 6 6 7 8 6 7 8 7 8 6 6 8 7 7 8 7 7 7 6 8 7 8 8 6 8 7 6 6 6 8 7 8 6 7 6 7 8 6 6 8 7 8 7 7 7 6 7 8 8 6 7 6 6 8 7 6 7 8 6 6 8 8 7 7 7 7 8 8 7 6 8 7 8 6 6 8 7 7 7 8 7 7 8 6 8 7 7 7 8 8 7,1138,182,86.212121,7 7 7 6 7 5 7 7 7 7 7 7 7 7 7 7 6 7 7 6 6 8 8 7 6 7 6 6 6 7 7 5 7 7 7 7 8 8 5 7 7 7 4 7 7 7 7 6 7 7 5 7 7 8 7 8 7 7 8 7 7 7 7 6 8 8 7 6 6 6 7 8 6 8 7 7 8 8 7 7 5 7 7 7 7 7 5 7 7 6 8 6 7 8 6 7 7 6 7 7 7 6 6 8 6 8 7 8 7 7 8 7 7 8 6 7 6 8 6 7 6 7 7 6 7 7 6 8 6 7 7 7 7 7 7 8 7 8 6 7 8 8 6 7 8 7 7 7 7 8 7 8 7 8 6 7 6 7 8 7 7 7 5 8 7
8,11,2,3,11,0 0 0 0 1 0 1 0 1 1 1,6 5,,,,,1166,154,88.333333,8 6 7 7 8 8 6 7 8 7 7 7 8 8 6 7 6 6 6 6 7 6 7 7 8 8 7 7 8 7 8 8 6 8 8 7 7 6 8 7 7 6 6 7 8 8 6 7 7 8 8 6 7 7 7 7 8 8 6 7 6 6 6 7 6 7 8 8 7 7 8 8 8 6 8 7 7 6 7 7 6 8 6 7 7 8 8 6 7 7 7 8 8 6 6 6 6 7 6 8 8 7 7 8 8 6 7 7 7 8 6 7 7 8 8 7 7 7 8 8 6 6 6 7 8 8 7 8 8 7 8 6 7 7 8 7 7 7 8 6 6 6 8 8 8 8 6 7 7 7 7 7 6 6 8 8 6 7 7 7 6 8 6 7 8,958,362,72.575758,4 6 5 6 6 5 5 6 5 5 5 5 6 4 5 5 5 6 6 5 6 5 6 5 6 6 4 6 6 5 6 6 5 6 6 6 6 6 6 6 6 5 5 6 6 5 6 5 6 5 4 5 6 6 6 6 7 5 6 6 7 6 5 6 6 6 7 7 5 7 7 6 6 6 5 6 7 6 6 6 6 6 5 5 5 4 5 5 6 6 5 6 6 5 6 5 4 5 5 6 6 6 6 5 5 5 5 6 6 7 6 6 6 5 6 6 6 5 7 6 6 5 5 5 6 7 6 6 5 6 7 6 6 7 6 6 6 6 7 6 6 5 7 7 7 7 6 7 7 6 7 6 6 6 7 6 6 7 7 6 6 7 6 7 7
9,11,2,3,11,0 0 0 0 1 0 1 1 0 1 1,6 5,,,,,1177,143,89.166667,7 8 7 7 8 7 7 6 7 6 7 8 6 7 8 7 8 7 8 7 7 7 8 7 7 7 7 7 6 7 8 6 7 7 8 7 8 8 7 7 7 7 8 6 7 7 8 7 7 8 7 7 6 6 7 8 6 7 8 7 7 8 7 7 7 8 7 7 7 7 6 8 6 7 7 7 8 8 7 7 8 7 8 7 7 8 7 7 6 7 8 6 7 8 7 8 7 7 7 7 7 7 7 8 6 7 7 8 7 7 8 7 7 8 7 6 7 8 6 7 7 8 7 7 7 7 7 8 6 7 7 8 7 7 8 6 7 8 6 7 8 7 7 7 8 7 8 7 7 6 7 8 7 8 7 7 8 7 6 7 7 7 8 6 7,1112,208,84.242424,7 7 6 7 6 6 7 6 8 7 7 7 6 6 7 7 7 7 7 6 6 7 7 5 5 6 6 6 7 7 7 6 7 7 7 6 7 7 6 6 6 6 7 7 8 8 6 7 7 7 6 7 7 8 7 6 6 6 8 7 7 6 7 7 7 8 6 7 6 7 6 7 7 7 6 7 8 7 6 7 8 8 5 7 7 8 6 7 8 7 6 6 6 7 7 6 7 7 6 6 7 6 6 7 7 7 7 7 5 8 6 7 7 8 6 7 7 7 6 6 7 7 7 6 7 7 6 8 7 7 7 6 7 7 8 7 7 7 6 7 7 7 7 7 7 7 5 7 6 7 7 7 7 7 7 7 6 6 7 6 6 8 7 7 8
10,11,2,3,11,0 0 0 0 1 0 1 1 1 0 1,6 5,,,,,1166,154,88.333333,8 8 8 7 6 7 8 8 8 8 7 6 7 7 6 7 8 8 6 6 7 6 6 8 7 7 7 7 7 7 6 7 6 7 6 7 6 6 7 8 7 8 8 8 8 8 8 8 7 6 7 8 8 8 7 6 7 7 6 7 8 6 6 7 6 6 7 7 7 7 7 6 7 6 7 7 6 6 8 7 8 8 8 8 7 6 7 8 8 7 6 7 7 6 8 6 6 7 6 7 7 7 7 6 7 6 7 6 8 8 8 8 7 6 7 8 7 6 7 7 8 6 6 7 7 7 7 6 7 7 8 8 8 7 6 8 7 6 7 8 6 6 7 7 6 8 8 8 7 8 7 6 8 6 7 8 8 8 8 7 8 8 8 8 8,967,353,73.257576,4 5 5 5 4 5 6 6 5 4 5 5 5 5 5 5 4 5 5 5 6 5 6 4 5 5 6 6 5 5 4 6 6 6 4 6 6 6 5 6 6 6 6 6 6 5 6 6 5 4 5 5 5 5 6 6 6 6 6 6 6 6 6 7 6 6 6 6 7 7 6 4 6 6 6 6 6 6 6 6 5 6 6 6 5 4 5 4 6 6 6 6 5 6 6 6 6 6 5 6 6 6 6 4 5 5 5 5 5 7 7 7 6 5 6 6 7 6 7 5 7 6 7 6 6 6 6 5 5 6 7 8 8 6 5 7 7 6 6 8 6 7 6 7 5 8 8 8 6 8 7 6 8 6 6 8 7 7 8 7 7 7 6 7 7
